"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.85111591203197,0.0619776934658879,110.541640530763,0
"User_Age",0.00381974282154356,0.000984322163824719,3.88058194961437,0.000104409621735344
"Book_Age",0.0135791440451202,0.00142566418454602,9.52478444244864,1.76265895831387e-21
"Title_Length",0.000128709931857433,9.859000303724e-05,1.30550692658784,0.19172940812422
"log_Book_Rating_Count",0.0879417589768843,0.0082906065480882,10.6073974765047,3.03525187483403e-26
"log_Author_Book_Count",0.0320555501954862,0.00881730697431482,3.63552616335865,0.000277836216969239
